"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
BORGERTX.GOV,City,"Non-Federal Agency",Borger,TX,true,true,false
BOSQUEFARMSNM.GOV,City,"Non-Federal Agency","Bosque Farms",NM,true,false,false
BOSTON.GOV,City,"Non-Federal Agency",Boston,MA,true,true,false
BOTHELLWA.GOV,City,"Non-Federal Agency",Bothell,WA,false,true,false
BOULDERCOLORADO.GOV,City,"Non-Federal Agency",Boulder,CO,true,true,false
BOUNTIFULUTAH.GOV,City,"Non-Federal Agency",Bountiful,UT,true,true,false
BOURBON-IN.GOV,City,"Non-Federal Agency",Bremen,IN,true,false,false
BOWERSDE.GOV,City,"Non-Federal Agency","Frederica,",DE,true,true,false
BOWLINGGREEN-MO.GOV,City,"Non-Federal Agency","Bowling Green",MO,true,true,false
BOWMAR.GOV,City,"Non-Federal Agency","Bow Mar",CO,true,false,false
BOWNH.GOV,City,"Non-Federal Agency",Bow,NH,true,true,false
BOXBOROUGH-MA.GOV,City,"Non-Federal Agency",Boxborough,MA,true,false,false
BOYLSTON-MA.GOV,City,"Non-Federal Agency",Boylston,MA,true,true,false
BRADLEYBEACHNJ.GOV,City,"Non-Federal Agency","Bradley Beach",NJ,true,false,false
BRAINTREEMA.GOV,City,"Non-Federal Agency",Braintree,MA,true,true,false
BRANFORD-CT.GOV,City,"Non-Federal Agency",Branford,CT,true,true,false
BRANSONMO.GOV,City,"Non-Federal Agency",Branson,MO,true,true,false
BRAWLEY-CA.GOV,City,"Non-Federal Agency",Brawley,CA,false,true,false
BRECKENRIDGETX.GOV,City,"Non-Federal Agency",Breckenridge,TX,true,true,false
BREMENGA.GOV,City,"Non-Federal Agency",Bremen,GA,true,true,false
BREMERTONWA.GOV,City,"Non-Federal Agency",Bremerton,WA,true,true,false
BRENTWOODCA.GOV,City,"Non-Federal Agency",Brentwood,CA,true,true,false
BRENTWOODMD.GOV,City,"Non-Federal Agency",Brentwood,MD,true,true,false
BRENTWOODNH.GOV,City,"Non-Federal Agency",Brentwood,NH,true,true,false
BRENTWOODTN.GOV,City,"Non-Federal Agency",Brentwood,TN,true,true,false
BREWERMAINE.GOV,City,"Non-Federal Agency",Brewer,ME,true,false,false
BREWSTER-MA.GOV,City,"Non-Federal Agency",Brewster,MA,true,true,false
BREWSTERVILLAGE-NY.GOV,City,"Non-Federal Agency",Brewster,NY,true,false,false
BRICKTOWNSHIP-NJ.GOV,City,"Non-Federal Agency",Brick,NJ,false,false,false
BRIDGEPORTCT.GOV,City,"Non-Federal Agency",Bridgeport,CT,true,true,false
BRIDGEPORTWV.GOV,City,"Non-Federal Agency",Bridgeport,WV,false,false,false
